ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,confidence_level,confidence_score,match_quality
26221,Librarian,PROFESSIONALS,6659,5352,8470,0.6660,0.6667,0.5172,0.8190,0.1818,moderate,0.2297,moderate,ai_leveraged,medium,0.6333,submajor_fallback
21513,Lift engineer,PROFESSIONALS,4842,3811,6622,0.6265,0.5597,0.4916,0.8279,0.2284,moderate,0.1724,moderate,ai_leveraged,medium,0.6092,direct
24211,Management consultant,PROFESSIONALS,10799,6053,17995,0.9299,0.7166,0.7418,0.7404,0.1951,moderate,0.4943,high,ai_leveraged,high,0.7667,direct
21411,Manufacturing engineer,PROFESSIONALS,4589,2596,6860,0.6848,0.7861,0.6571,0.7700,0.1128,low,0.3538,high,ai_leveraged,high,0.8667,direct
21473,Marine engineer,PROFESSIONALS,4603,4130,5700,0.5992,0.6863,0.4171,0.8540,0.1606,moderate,0.1715,moderate,ai_leveraged,medium,0.5358,direct
21714,Marine superintendent,PROFESSIONALS,9600,6580,14426,0.3601,0.8378,0.8505,0.7023,0.0410,very_low,0.2566,moderate,ai_leveraged,medium,0.6000,direct
21712,Marine superintendent (engineer),PROFESSIONALS,7638,5800,10240,0.3601,0.8378,0.7460,0.7389,0.0432,very_low,0.2251,moderate,ai_leveraged,medium,0.6000,direct
24312,Market research professional,PROFESSIONALS,7000,5437,9167,0.8503,0.5865,0.5545,0.8059,0.2834,moderate,0.2765,moderate,mixed,high,0.7143,direct
24313,Marketing strategy/planning professional,PROFESSIONALS,8060,4600,11785,0.8503,0.5865,0.6880,0.7592,0.2670,moderate,0.3431,high,mixed,high,0.7143,direct
21492,Materials engineer,PROFESSIONALS,8643,6592,10805,0.5841,0.6783,0.5946,0.7919,0.1488,low,0.2356,moderate,ai_leveraged,high,0.7667,direct
21441,Mechanical engineer,PROFESSIONALS,6205,4900,8678,0.6781,0.7362,0.5397,0.8111,0.1451,low,0.2694,moderate,ai_leveraged,high,0.7667,direct
21531,Media and broadcasting engineer,PROFESSIONALS,6049,5012,8631,0.7628,0.1988,0.5187,0.8185,0.5002,very_high,0.0786,low,at_risk,high,0.7667,direct
24332,Medical and pharmaceutical products sales professional,PROFESSIONALS,7259,5524,11385,0.8136,0.5731,0.6285,0.7800,0.2709,moderate,0.2930,moderate,mixed,medium,0.6286,direct
22693,Medical diagnostic radiographer,PROFESSIONALS,5716,4606,7253,0.5775,0.9002,0.6295,0.7797,0.0449,very_low,0.3272,high,ai_leveraged,high,0.8667,direct
21342,Medical laboratory scientist,PROFESSIONALS,5979,5412,7443,0.6915,0.8128,0.5295,0.8147,0.1054,low,0.2976,moderate,ai_leveraged,high,0.7399,direct
21346,Medical scientist,PROFESSIONALS,5833,5400,6500,0.6915,0.8128,0.5051,0.8232,0.1065,low,0.2839,moderate,ai_leveraged,high,0.7399,direct
26353,Medical social worker,PROFESSIONALS,4915,4203,6513,0.4981,0.8601,0.6070,0.7876,0.0549,low,0.2600,moderate,ai_leveraged,high,0.9333,direct
26361,Minister of religion,PROFESSIONALS,6637,4472,12804,0.7990,0.9144,0.6406,0.7758,0.0530,low,0.4680,high,ai_leveraged,high,0.7306,direct
21662,Multimedia (including games) designer,PROFESSIONALS,5319,4497,7584,0.6788,0.4813,0.4930,0.8274,0.2913,moderate,0.1611,moderate,mixed,medium,0.6032,direct
25123,Multimedia (including games) developer,PROFESSIONALS,6331,5422,9496,0.8414,0.1872,0.6690,0.7659,0.5238,very_high,0.1053,low,mixed,high,0.7712,direct
21663,Multimedia artist and animator,PROFESSIONALS,5000,3775,8177,0.6788,0.4813,0.5604,0.8039,0.2830,moderate,0.1831,moderate,mixed,medium,0.6032,direct
25220,"Network, servers and computer systems administrator",PROFESSIONALS,4765,3688,6920,0.6061,0.1658,0.6165,0.7842,0.3965,high,0.0619,low,mixed,high,0.8667,direct
22652,Nutritionist,PROFESSIONALS,4684,3232,8074,0.8585,0.9100,0.5736,0.7992,0.0618,low,0.4481,high,ai_leveraged,high,0.7667,direct
22144,Obstetrician/Gynaecologist,PROFESSIONALS,5965,4741,7002,0.4636,0.9554,0.4698,0.8356,0.0173,very_low,0.2081,moderate,ai_leveraged,medium,0.6333,submajor_fallback
22631,Occupational health and safety professional,PROFESSIONALS,5000,3263,7313,0.8585,0.9100,0.5672,0.8015,0.0619,low,0.4431,high,ai_leveraged,high,0.7667,direct
22680,Occupational therapist,PROFESSIONALS,4933,4085,6488,0.3048,0.9848,0.6145,0.7849,0.0036,very_low,0.1844,moderate,ai_leveraged,high,0.7712,direct
24352,Oil and bunker trader,PROFESSIONALS,14896,8610,20000,0.8221,0.4242,0.7458,0.7390,0.3498,high,0.2601,moderate,mixed,medium,0.6916,direct
21212,Operations research analyst,PROFESSIONALS,6352,4760,9530,0.9347,0.3520,0.5786,0.7975,0.4830,high,0.1904,moderate,mixed,high,0.7056,direct
22145,Ophthalmologist,PROFESSIONALS,6804,6205,10257,0.4636,0.9554,0.5379,0.8117,0.0168,very_low,0.2383,moderate,ai_leveraged,medium,0.6333,submajor_fallback
22670,Optometrist,PROFESSIONALS,5241,4342,6191,0.4148,0.9394,0.4399,0.8460,0.0213,very_low,0.1714,moderate,ai_leveraged,medium,0.5490,direct
22135,Orthopaedic surgeon,PROFESSIONALS,5836,5580,6539,0.3803,0.9554,0.4231,0.8519,0.0144,very_low,0.1537,moderate,ai_leveraged,medium,0.6333,submajor_fallback
22148,"Otorhinolaryngologist/Ear, nose, throat (ENT) specialist",PROFESSIONALS,6624,6097,9707,0.4636,0.9554,0.5162,0.8193,0.0169,very_low,0.2286,moderate,ai_leveraged,medium,0.6333,submajor_fallback
22126,Paediatrician,PROFESSIONALS,5789,4530,6752,0.4832,0.9554,0.4652,0.8372,0.0180,very_low,0.2148,moderate,ai_leveraged,medium,0.6333,submajor_fallback
24233,Personnel/Human resource officer,PROFESSIONALS,4000,3370,4605,0.8897,0.6123,0.4058,0.8580,0.2959,moderate,0.2211,moderate,mixed,high,0.7482,direct
22621,Pharmacist (patient care),PROFESSIONALS,5466,4504,7346,0.5632,0.9768,0.4841,0.8306,0.0108,very_low,0.2663,moderate,ai_leveraged,high,0.7667,direct
21341,Pharmacologist,PROFESSIONALS,6706,4313,13118,0.6915,0.8128,0.7268,0.7456,0.0965,low,0.4085,high,ai_leveraged,high,0.7399,direct
22640,Physiotherapist,PROFESSIONALS,4814,4235,6200,0.3048,0.9848,0.5870,0.7945,0.0037,very_low,0.1762,moderate,ai_leveraged,high,0.7712,direct
22692,Podiatrist,PROFESSIONALS,5054,4498,6956,0.5775,0.9002,0.6091,0.7868,0.0454,very_low,0.3167,high,ai_leveraged,high,0.8667,direct
24220,Policy administration professional (e.g. policy analyst),PROFESSIONALS,5179,4100,8858,0.9180,0.3868,0.5639,0.8026,0.4518,high,0.2002,moderate,mixed,medium,0.6750,direct
21512,Power generation and distribution engineer,PROFESSIONALS,9131,6947,12139,0.6265,0.5597,0.6285,0.7800,0.2152,moderate,0.2204,moderate,ai_leveraged,medium,0.6092,direct
21415,Process engineer,PROFESSIONALS,5833,4990,7600,0.6848,0.7861,0.6236,0.7817,0.1145,low,0.3357,high,ai_leveraged,high,0.9333,direct
21498,Procurement engineer,PROFESSIONALS,6500,4906,8956,0.5841,0.6783,0.5557,0.8055,0.1514,moderate,0.2202,moderate,ai_leveraged,high,0.7667,direct
26541,"Producer (stage, film, television, game, commercial, video and radio)",PROFESSIONALS,6736,5000,9273,0.6504,0.7968,0.5750,0.7988,0.1056,low,0.2980,moderate,ai_leveraged,high,0.7667,direct
21632,Product and industrial designer,PROFESSIONALS,5710,4218,7782,0.6028,0.6907,0.5324,0.8137,0.1517,moderate,0.2217,moderate,ai_leveraged,medium,0.6708,direct
21412,Production engineer,PROFESSIONALS,6251,4862,10083,0.6848,0.7861,0.6664,0.7668,0.1123,low,0.3588,high,ai_leveraged,high,0.8667,direct
22128,Psychiatrist,PROFESSIONALS,6886,6489,9312,0.4832,0.9554,0.4987,0.8255,0.0178,very_low,0.2302,moderate,ai_leveraged,medium,0.6333,submajor_fallback
24320,Public relations/Corporate communications professional,PROFESSIONALS,4305,3630,5500,0.8962,0.5793,0.4374,0.8469,0.3193,high,0.2271,moderate,mixed,high,0.7667,direct
21414,Quality control/assurance engineer,PROFESSIONALS,6310,4794,8471,0.6848,0.7861,0.6222,0.7822,0.1146,low,0.3350,high,ai_leveraged,high,0.8667,direct
21494,Quantity surveyor,PROFESSIONALS,5030,4000,6322,0.5841,0.6783,0.4652,0.8372,0.1573,moderate,0.1843,moderate,ai_leveraged,high,0.7667,direct
22694,Radiation therapist,PROFESSIONALS,5629,4424,7186,0.5775,0.9002,0.5659,0.8019,0.0462,very_low,0.2942,moderate,ai_leveraged,high,0.8000,direct
22200,"Registered nurse and other nursing professional (e.g. clinical nurse, nurse educator, excluding enrolled nurse)",PROFESSIONALS,5276,4261,6835,0.4547,0.9216,0.6241,0.7816,0.0279,very_low,0.2615,moderate,ai_leveraged,high,0.9333,direct
24291,Research officer (non-statistical),PROFESSIONALS,5200,4500,6812,0.7639,0.5775,0.4566,0.8402,0.2711,moderate,0.2015,moderate,mixed,medium,0.6674,direct
24315,Revenue specialist,PROFESSIONALS,6387,4340,11000,0.8503,0.5865,0.6228,0.7820,0.2750,moderate,0.3105,high,mixed,high,0.7143,direct
21475,Rolling stock engineer,PROFESSIONALS,6795,5444,7939,0.5992,0.6863,0.4987,0.8255,0.1552,moderate,0.2051,moderate,ai_leveraged,medium,0.5358,direct
24334,Sales professional (institutional sales of financial products),PROFESSIONALS,9583,6331,16750,0.8136,0.5731,0.7238,0.7467,0.2593,moderate,0.3375,high,mixed,medium,0.6286,direct
26374,School counsellor,PROFESSIONALS,3497,2252,6830,0.7601,0.8877,0.5707,0.8002,0.0683,low,0.3851,high,ai_leveraged,medium,0.6363,direct
26412,Script writer and editor,PROFESSIONALS,3945,3369,6737,0.7341,0.1471,0.5205,0.8178,0.5121,very_high,0.0562,low,at_risk,high,0.7667,direct
24151,Securities and finance broker,PROFESSIONALS,8508,5817,14351,0.9216,0.3387,0.7769,0.7281,0.4438,high,0.2425,moderate,mixed,high,0.8228,direct
24141,Securities and finance dealer,PROFESSIONALS,7896,5200,17203,0.9542,0.4109,0.6955,0.7566,0.4253,high,0.2727,moderate,mixed,high,0.7503,direct
25243,Security operations specialist,PROFESSIONALS,7700,5375,12250,0.8342,0.2906,0.7445,0.7394,0.4376,high,0.1805,moderate,mixed,high,0.7881,direct
21523,Semi-conductor engineer,PROFESSIONALS,6600,5638,8723,0.5867,0.5178,0.5864,0.7948,0.2248,moderate,0.1781,moderate,ai_leveraged,high,0.8667,direct
21670,Service designer,PROFESSIONALS,8557,5162,12890,0.6597,0.3583,0.6984,0.7556,0.3199,high,0.1651,moderate,mixed,medium,0.6990,direct
24362,Ship broker (e.g. charter or sales & purchase),PROFESSIONALS,9000,4180,17700,0.8221,0.4242,0.7228,0.7470,0.3536,high,0.2521,moderate,mixed,medium,0.6916,direct
24353,Ship charterer,PROFESSIONALS,12399,6860,18360,0.8221,0.4242,0.7515,0.7370,0.3488,high,0.2621,moderate,mixed,medium,0.6916,direct
26322,Social science researcher,PROFESSIONALS,6600,6250,8917,0.6085,0.8930,0.4832,0.8309,0.0541,low,0.2626,moderate,ai_leveraged,high,0.7667,direct
26351,Social worker (general),PROFESSIONALS,4405,3920,5374,0.4981,0.8601,0.4903,0.8284,0.0577,low,0.2101,moderate,ai_leveraged,high,0.8667,direct
25121,Software developer,PROFESSIONALS,8888,6658,13513,0.8414,0.1872,0.9198,0.6781,0.4637,high,0.1448,low,mixed,high,0.8379,direct
22662,Speech therapist,PROFESSIONALS,4764,4381,6167,0.5930,0.7692,0.4256,0.8510,0.1165,low,0.1941,moderate,ai_leveraged,high,0.7667,direct
21231,Statistical officer/Data analyst,PROFESSIONALS,8356,5807,12201,0.9611,0.1907,0.6670,0.7666,0.5962,very_high,0.1223,low,mixed,high,0.7628,direct
21221,Statistician,PROFESSIONALS,4720,3887,6465,0.9310,0.2023,0.5530,0.8064,0.5989,very_high,0.1042,low,mixed,high,0.8667,direct
25111,Systems designer/analyst,PROFESSIONALS,6966,5772,9500,0.8128,0.4439,0.5436,0.8097,0.3660,high,0.1961,moderate,mixed,medium,0.7000,direct
24113,Tax accountant,PROFESSIONALS,9726,6595,14893,0.9699,0.3021,0.8398,0.7061,0.4779,high,0.2461,moderate,mixed,high,0.8667,direct
23103,Teaching assistant/Tutor in university,PROFESSIONALS,5800,4500,6000,0.9207,0.8333,0.4386,0.8465,0.1299,low,0.3366,high,ai_leveraged,high,0.7667,direct
24331,Technical sales professional,PROFESSIONALS,6850,5104,10250,0.8136,0.5731,0.6025,0.7891,0.2741,moderate,0.2809,moderate,mixed,medium,0.6286,direct
26414,Technical writer,PROFESSIONALS,5891,4368,9392,0.7341,0.1471,0.5818,0.7964,0.4987,high,0.0628,low,at_risk,high,0.7667,direct
23300,Technical/Vocational/Commercial education institute teacher and trainer,PROFESSIONALS,3800,3360,4542,0.6792,0.9037,0.4035,0.8588,0.0561,low,0.2477,moderate,ai_leveraged,medium,0.5186,direct
21532,Telecommunications engineer,PROFESSIONALS,6158,4865,10106,0.7628,0.1988,0.5850,0.7953,0.4860,high,0.0887,low,at_risk,high,0.7667,direct
24361,Trade broker,PROFESSIONALS,13500,5768,20000,0.8221,0.4242,0.7629,0.7330,0.3470,high,0.2661,moderate,mixed,medium,0.6916,direct
22301,Traditional Chinese medicine practitioner,PROFESSIONALS,4289,2452,7120,0.2950,0.9947,0.5743,0.7990,0.0013,very_low,0.1685,moderate,ai_leveraged,high,0.7504,direct
24240,Training and staff development professional,PROFESSIONALS,4490,3751,6171,0.8471,0.3850,0.4656,0.8371,0.4360,high,0.1518,moderate,mixed,medium,0.6698,direct
26431,Translator,PROFESSIONALS,6456,4776,8924,0.8316,0.3886,0.5615,0.8035,0.4085,high,0.1814,moderate,mixed,high,0.7667,direct
24134,Treasury manager,PROFESSIONALS,9405,7750,11795,0.9714,0.3119,0.7185,0.7485,0.5003,very_high,0.2177,moderate,mixed,high,0.8667,direct
23101,University lecturer,PROFESSIONALS,12990,9434,17850,0.9207,0.8333,0.6909,0.7582,0.1164,low,0.5301,very_high,ai_leveraged,high,0.7667,direct
21641,Urban planner,PROFESSIONALS,5382,4382,7500,0.6331,0.6203,0.4991,0.8253,0.1984,moderate,0.1960,moderate,ai_leveraged,high,0.7014,direct
22138,Urologist,PROFESSIONALS,6729,6071,9696,0.3803,0.9554,0.5226,0.8171,0.0138,very_low,0.1899,moderate,ai_leveraged,medium,0.6333,submajor_fallback
22500,Veterinarian,PROFESSIONALS,8500,5492,11390,0.4250,0.9982,0.6682,0.7661,0.0006,very_low,0.2835,moderate,ai_leveraged,high,0.7667,direct
25122,Web and mobile applications developer,PROFESSIONALS,7000,6050,9314,0.8414,0.1872,0.7263,0.7458,0.5100,very_high,0.1144,low,mixed,high,0.8379,direct
33392,Advertising salesman,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5500,4651,6120,0.7501,0.5027,0.4411,0.8456,0.3154,high,0.1663,moderate,mixed,high,0.7667,direct
31211,Aeronautical engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4481,3235,6054,0.3279,0.5490,0.5031,0.8239,0.1218,low,0.0906,low,stable,high,0.7667,direct
33222,After sales adviser/Client account service executive,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5620,4054,9583,0.9136,0.4367,0.6019,0.7893,0.4062,high,0.2402,moderate,mixed,high,0.7667,direct
31594,Air cargo officer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4201,3425,5362,0.3182,0.6337,0.4261,0.8509,0.0992,low,0.0859,low,stable,medium,0.5667,submajor_fallback
33611,Air transport equipment project executive,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4555,2811,7735,0.5717,0.5258,0.5752,0.7987,0.2165,moderate,0.1729,moderate,ai_leveraged,medium,0.4798,direct
31571,Air transport service supervisor,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5552,4425,7536,0.2356,0.8271,0.5110,0.8212,0.0334,very_low,0.0996,low,stable,high,0.7667,direct
31152,Air-conditioning/Refrigeration engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4141,2900,5750,0.3830,0.4884,0.4982,0.8256,0.1618,moderate,0.0932,low,stable,high,0.7667,direct
33151,Appraiser/Valuer (excluding intangible asset valuer),ASSOCIATE PROFESSIONALS AND TECHNICIANS,5281,3140,8251,0.7157,0.2255,0.6015,0.7895,0.4376,high,0.0971,low,at_risk,medium,0.5667,submajor_fallback
31184,Architectural draughtsman,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4135,3300,5400,0.3182,0.6337,0.4361,0.8474,0.0988,low,0.0879,low,stable,medium,0.5667,submajor_fallback
36202,Art and craft instructor (extracurriculum),ASSOCIATE PROFESSIONALS AND TECHNICIANS,3300,2400,4183,0.9046,0.3645,0.3998,0.8601,0.4944,high,0.1318,low,mixed,medium,0.7000,direct
33152,Assessor,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5100,3926,6777,0.7157,0.2255,0.5021,0.8243,0.4569,high,0.0810,low,at_risk,medium,0.5667,submajor_fallback
33131,Assistant accountant,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3885,3300,4575,0.9699,0.3021,0.3691,0.8708,0.5894,very_high,0.1082,low,at_risk,high,0.7667,direct
31001,Assistant civil and structural engineer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4110,3300,5838,0.3989,0.4955,0.4668,0.8366,0.1684,moderate,0.0923,low,stable,high,0.7093,direct
31002,Assistant electrical engineer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4871,3800,6579,0.3989,0.4955,0.4935,0.8273,0.1665,moderate,0.0976,low,stable,high,0.7093,direct
31003,Assistant electronics engineer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4632,3600,7078,0.3989,0.4955,0.5235,0.8168,0.1644,moderate,0.1035,low,stable,high,0.7093,direct
31006,Assistant manufacturing engineer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4003,3328,5544,0.3989,0.4955,0.4311,0.8491,0.1709,moderate,0.0852,low,stable,high,0.7093,direct
31004,Assistant mechanical engineer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3983,3272,4800,0.3989,0.4955,0.3923,0.8627,0.1736,moderate,0.0775,low,stable,high,0.7093,direct
34210,Athlete/Sportsman,ASSOCIATE PROFESSIONALS AND TECHNICIANS,2658,2415,4000,0.6214,0.7130,0.3566,0.8752,0.1561,moderate,0.1580,moderate,ai_leveraged,high,0.7300,direct
31143,Audio and video equipment technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3869,3012,5235,0.2824,0.5089,0.4361,0.8474,0.1175,low,0.0627,low,stable,medium,0.5962,direct
33132,Audit associate professional,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5050,4500,5750,0.9699,0.3021,0.4215,0.8525,0.5770,very_high,0.1235,low,mixed,high,0.7667,direct
31174,Automation technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3449,2799,4836,0.3279,0.5490,0.4044,0.8585,0.1269,low,0.0728,low,stable,high,0.7667,direct
31212,Automotive engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3778,2800,4953,0.3279,0.5490,0.4381,0.8467,0.1252,low,0.0789,low,stable,high,0.7667,direct
31122,Building technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3623,3029,3960,0.5211,0.7077,0.3388,0.8814,0.1343,low,0.1249,low,ai_leveraged,medium,0.5655,direct
33221,Business development executive,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5000,3975,7455,0.9136,0.4367,0.5277,0.8153,0.4196,high,0.2106,moderate,mixed,high,0.7667,direct
33231,Buyer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4694,3608,6115,0.7213,0.6230,0.4785,0.8325,0.2264,moderate,0.2150,moderate,ai_leveraged,high,0.7342,direct
34341,Chef,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3850,3105,4850,0.6504,0.7968,0.4001,0.8600,0.1137,low,0.2074,moderate,ai_leveraged,high,0.7667,direct
31161,Chemical engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4925,3951,6153,0.5391,0.3182,0.4618,0.8384,0.3081,high,0.0792,low,at_risk,high,0.7667,direct
31163,Chemical engineering technician (petrochemicals),ASSOCIATE PROFESSIONALS AND TECHNICIANS,5738,4589,7446,0.5391,0.3182,0.5028,0.8240,0.3029,high,0.0862,low,at_risk,high,0.7667,direct
31111,Chemistry technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4765,3554,6199,0.5368,0.3779,0.4942,0.8270,0.2762,moderate,0.1003,low,at_risk,medium,0.6320,direct
31121,Civil engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4310,2990,5720,0.5211,0.7077,0.4982,0.8256,0.1258,low,0.1837,moderate,ai_leveraged,medium,0.5655,direct
31183,Civil/Structural engineering draughtsman,ASSOCIATE PROFESSIONALS AND TECHNICIANS,2819,2471,4000,0.3182,0.6337,0.3541,0.8761,0.1021,low,0.0714,low,stable,medium,0.5667,submajor_fallback
33311,Clearing and forwarding agent,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4047,3504,4823,0.8621,0.0062,0.3816,0.8664,0.7423,very_high,0.0021,very_low,at_risk,high,0.7431,direct
31412,Clinical research coordinator,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4500,3905,5986,0.4740,0.3957,0.4384,0.8465,0.2425,moderate,0.0822,low,stable,high,0.7667,direct
32530,Community health worker,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3103,3000,4425,0.3060,0.4581,0.3413,0.8805,0.1460,low,0.0478,very_low,stable,high,0.7667,direct
35110,Computer systems operator,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5425,4357,8143,0.6573,0.2442,0.5409,0.8107,0.4027,high,0.0868,low,at_risk,high,0.7667,direct
33493,Crewing executive (ship),ASSOCIATE PROFESSIONALS AND TECHNICIANS,4377,3539,6167,0.7481,0.4153,0.4725,0.8346,0.3651,high,0.1468,low,mixed,high,0.7578,direct
32143,Dental technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3032,2642,3649,0.3628,0.8627,0.3192,0.8883,0.0442,very_low,0.0999,low,stable,medium,0.5650,direct
31131,Electrical engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4235,3081,5461,0.3496,0.4305,0.4746,0.8339,0.1660,moderate,0.0714,low,stable,medium,0.5476,direct
31182,Electrical/Electronics draughtsman,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3518,2400,4400,0.3182,0.6337,0.4301,0.8495,0.0990,low,0.0867,low,stable,medium,0.5667,submajor_fallback
31141,Electronics engineering technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4071,3287,5374,0.2824,0.5089,0.4329,0.8485,0.1177,low,0.0622,low,stable,medium,0.5962,direct
33330,Employment agent/Labour contractor,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4522,3084,7335,0.9520,0.1337,0.5595,0.8042,0.6632,very_high,0.0712,low,at_risk,high,0.7667,direct
32200,Enrolled/Assistant nurse (excluding registered nurse),ASSOCIATE PROFESSIONALS AND TECHNICIANS,4904,3344,6705,0.1832,0.7558,0.5424,0.8102,0.0362,very_low,0.0751,low,stable,high,0.7667,direct
32571,Environmental inspector (environmental public health),ASSOCIATE PROFESSIONALS AND TECHNICIANS,7373,4794,10408,0.3060,0.4581,0.6147,0.7848,0.1301,low,0.0862,low,stable,high,0.7667,direct
33320,Exhibition/Conference/Event planner (including wedding planner/coordinator),ASSOCIATE PROFESSIONALS AND TECHNICIANS,3740,3000,4861,0.8315,0.5686,0.3980,0.8607,0.3087,high,0.1882,moderate,mixed,high,0.7667,direct
33121,Financial markets back office administrator,ASSOCIATE PROFESSIONALS AND TECHNICIANS,5366,4000,6700,0.9148,0.2050,0.4999,0.8250,0.6000,very_high,0.0937,low,at_risk,high,0.7534,direct
31711,Fire and safety inspector,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3810,2504,7464,0.2206,0.7754,0.5245,0.8164,0.0404,very_low,0.0897,low,stable,medium,0.5613,direct
31593,Flight operations officer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3778,2848,5200,0.3182,0.6337,0.4449,0.8443,0.0984,low,0.0897,low,stable,medium,0.5667,submajor_fallback
31522,Harbour pilot,ASSOCIATE PROFESSIONALS AND TECHNICIANS,8833,7093,10052,0.0833,0.7772,0.4935,0.8273,0.0154,very_low,0.0320,very_low,stable,high,0.7667,direct
36203,Information technology trainer (extracurriculum),ASSOCIATE PROFESSIONALS AND TECHNICIANS,6119,4249,8550,0.9046,0.3645,0.5784,0.7976,0.4585,high,0.1907,moderate,mixed,medium,0.7000,direct
31144,Instrumentation technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3626,2826,4580,0.2824,0.5089,0.3923,0.8627,0.1196,low,0.0564,low,stable,medium,0.5962,direct
33211,Insurance sales agent/broker (including independent financial planner),ASSOCIATE PROFESSIONALS AND TECHNICIANS,5780,4350,6887,0.7942,0.0089,0.4978,0.8258,0.6500,very_high,0.0035,very_low,at_risk,high,0.7667,direct
34321,Interior designer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4700,3430,6000,0.3741,0.1738,0.4928,0.8275,0.2558,moderate,0.0320,very_low,at_risk,medium,0.6916,direct
33393,International market agent/representative (e.g. junket operator),ASSOCIATE PROFESSIONALS AND TECHNICIANS,9530,5124,19300,0.7501,0.5027,0.6584,0.7696,0.2871,moderate,0.2482,moderate,mixed,high,0.7667,direct
35121,IT Infrastructure technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4100,3200,5249,0.5286,0.3449,0.4356,0.8475,0.2935,moderate,0.0794,low,at_risk,medium,0.6333,submajor_fallback
35122,IT security technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,4542,3859,7000,0.5286,0.3449,0.4957,0.8265,0.2862,moderate,0.0904,low,at_risk,medium,0.6333,submajor_fallback
35123,IT support technician (including IT user helpdesk technician),ASSOCIATE PROFESSIONALS AND TECHNICIANS,5148,3760,7447,0.5286,0.3449,0.5477,0.8083,0.2799,moderate,0.0999,low,at_risk,medium,0.6333,submajor_fallback
34342,Kitchen operations head/supervisor,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3949,3329,4000,0.6504,0.7968,0.3520,0.8768,0.1159,low,0.1824,moderate,ai_leveraged,high,0.7667,direct
31123,Land surveying technician,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3400,2560,5494,0.5211,0.7077,0.4671,0.8365,0.1274,low,0.1723,moderate,ai_leveraged,medium,0.5655,direct
31602,Landscape operations officer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,3325,2830,3903,0.2383,0.8725,0.3302,0.8844,0.0269,very_low,0.0687,low,stable,medium,0.5948,direct
36201,Language instructor (extracurriculum),ASSOCIATE PROFESSIONALS AND TECHNICIANS,4329,3905,4900,0.9046,0.3645,0.3837,0.8657,0.4977,high,0.1265,low,mixed,medium,0.7000,direct
34110,Legal associate professional (e.g. paralegal),ASSOCIATE PROFESSIONALS AND TECHNICIANS,4557,3535,7200,0.8634,0.0472,0.5331,0.8134,0.6691,very_high,0.0217,very_low,at_risk,high,0.7667,direct
34331,Library officer,ASSOCIATE PROFESSIONALS AND TECHNICIANS,2936,2300,3312,0.5874,0.7629,0.3270,0.8855,0.1233,low,0.1466,low,ai_leveraged,high,0.7667,direct
