ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,confidence_level,confidence_score,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
14123,Food and beverage operations manager,MANAGERS,5286,3839,8364,3.7,estimated_sg_submajor,derived_from_official_sg,7.22,external_proxy,0.4365,0.6970,0.5076,0.8224,0.1088,low,0.1544,very_low,ai_leveraged,true,0.1257,false,false,high,0.7806,direct,GCE O-Level / Secondary,external_proxy,false,false,false,false
13420,Health services manager,MANAGERS,9839,6262,13690,5.1,estimated_sg_submajor,derived_from_official_sg,5.67,external_proxy,0.6017,0.7326,0.6106,0.7863,0.1265,low,0.2691,low,ai_leveraged,true,-0.3011,false,false,high,0.8333,direct,Graduate Degree,external_proxy,false,false,false,false
14110,Hotel operations/Lodging services manager,MANAGERS,4970,4019,7020,3.7,estimated_sg_submajor,derived_from_official_sg,0.48,external_proxy,0.5570,0.9055,0.4423,0.8452,0.0445,very_low,0.2231,low,ai_leveraged,true,0.211,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
13304,ICT service manager,MANAGERS,9503,7280,13226,5.1,estimated_sg_submajor,derived_from_official_sg,1.95,external_proxy,0.4764,0.9902,0.6289,0.7799,0.0036,very_low,0.2966,low,ai_leveraged,true,-0.2073,prefix,false,high,0.7852,direct,Graduate Degree,external_proxy,false,false,false,false
12122,Industrial relations manager,MANAGERS,9176,6490,14997,8.5,estimated_sg_submajor,derived_from_official_sg,6.14,external_proxy,0.6891,0.7219,0.5995,0.7902,0.1514,moderate,0.2983,low,ai_leveraged,true,-0.0382,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
13462,Insurance services manager,MANAGERS,10466,6657,16338,5.1,estimated_sg_submajor,derived_from_official_sg,0,external_proxy,0.6714,0.5651,0.6430,0.7749,0.2263,moderate,0.2440,low,ai_leveraged,false,,false,false,high,0.8000,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
12192,Landscape manager,MANAGERS,4300,2800,6000,8.5,estimated_sg_submajor,derived_from_official_sg,12.28,external_proxy,0.6743,0.8485,0.5481,0.8082,0.0826,low,0.3136,low,ai_leveraged,true,-0.1153,false,prefix,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
11201,Managing director/Chief executive officer,MANAGERS,13000,6065,20000,16.8,estimated_sg_submajor,derived_from_official_sg,34.18,external_proxy,0.6282,0.9358,0.6997,0.7551,0.0304,very_low,0.4113,moderate,ai_leveraged,true,0.169,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
13210,Manufacturing manager,MANAGERS,8571,6126,11110,5.1,estimated_sg_submajor,derived_from_official_sg,5.07,external_proxy,0.6298,0.8547,0.5143,0.8200,0.0750,low,0.2769,low,ai_leveraged,true,-0.0558,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
12222,Marketing manager,MANAGERS,8841,6000,13061,8.5,estimated_sg_submajor,derived_from_official_sg,0.25,external_proxy,0.7210,0.7727,0.6285,0.7800,0.1278,low,0.3502,low,ai_leveraged,true,-0.1368,false,prefix,high,0.8572,direct,University Degree,external_proxy,false,false,false,false
13493,Media and broadcasting manager,MANAGERS,6010,4745,8074,5.1,estimated_sg_submajor,derived_from_official_sg,12.28,external_proxy,0.6499,0.8485,0.4391,0.8463,0.0833,low,0.2421,low,ai_leveraged,true,-0.1153,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
12214,Merchandising/Category manager,MANAGERS,8746,6000,13320,8.5,estimated_sg_submajor,derived_from_official_sg,2,external_proxy,0.7762,0.7469,0.5778,0.7978,0.1567,moderate,0.3350,low,ai_leveraged,true,-0.0499,false,false,high,0.8242,direct,University Degree,external_proxy,false,false,false,false
13303,"Network, communications and infrastructure manager",MANAGERS,10750,8493,14724,5.1,estimated_sg_submajor,derived_from_official_sg,1.95,external_proxy,0.4764,0.9902,0.6435,0.7748,0.0036,very_low,0.3035,low,ai_leveraged,true,-0.2073,prefix,false,high,0.7852,direct,Graduate Degree,external_proxy,false,false,false,false
12215,Online sales channel manager,MANAGERS,7614,5731,12500,8.5,estimated_sg_submajor,derived_from_official_sg,2,external_proxy,0.7762,0.7469,0.5425,0.8101,0.1592,moderate,0.3145,low,ai_leveraged,true,-0.0499,false,false,high,0.8242,direct,University Degree,external_proxy,false,false,false,false
12121,Personnel/Human resource manager,MANAGERS,8197,5777,12919,8.5,estimated_sg_submajor,derived_from_official_sg,6.14,external_proxy,0.6891,0.7219,0.5610,0.8036,0.1540,moderate,0.2791,low,ai_leveraged,true,-0.0382,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
12131,Policy manager,MANAGERS,12053,9098,15278,8.5,estimated_sg_submajor,derived_from_official_sg,2.23,external_proxy,0.4522,0.9715,0.6539,0.7711,0.0099,very_low,0.2872,low,ai_leveraged,true,-0.1946,prefix,false,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
13245,Port/Shipping operations manager,MANAGERS,8695,7382,10894,5.1,estimated_sg_submajor,derived_from_official_sg,1.99,external_proxy,0.6472,0.8788,0.4555,0.8406,0.0659,low,0.2591,low,ai_leveraged,true,0.005,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
13244,Postal service manager,MANAGERS,7910,5550,12414,5.1,estimated_sg_submajor,derived_from_official_sg,1.99,external_proxy,0.6472,0.8788,0.5535,0.8063,0.0633,low,0.3148,low,ai_leveraged,true,0.005,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
