ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,estimated_sg_employment_thousands,employment_thousands,employment_basis,employment_family_code,employment_family_total_thousands,employment_weight_within_family,employment_estimate_method,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,structural_risk,structural_risk_band,transition_adjusted_risk,transition_adjusted_band,transition_adjusted_impact_type,realized_risk_proxy,adaptation_capacity,adaptation_buffer,demand_fragility,reallocation_capacity,profile,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,exposure_blend_strategy,exposure_agreement,exposure_source_count,exposure_source_weights,signal_conflict,signal_conflict_reasons,confidence_level,confidence_score,confidence_source_coverage,confidence_signal_agreement,confidence_sensitivity,structural_model_version,scoring_basis,baseline_v42_exposure,baseline_v42_net_risk,baseline_v42_risk_band,baseline_v42_augmentation,baseline_v42_impact_type,baseline_v43_exposure,baseline_v43_net_risk,baseline_v43_risk_band,baseline_v43_augmentation,baseline_v43_impact_type,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
13230,Construction manager,MANAGERS,7600,5200,11154,4.8,4.8,estimated_sg_submajor_weighted_2025,13,121.7,0.039396,wage_only,derived_from_official_sg,,external_proxy,0.5880,0.8547,0.5259,0.7634,0.0652,low,0.2643,low,ai_leveraged,,,,,,,,,,,,true,-0.0558,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12241,Customer service manager,MANAGERS,8470,5925,13015,8.6,8.6,estimated_sg_submajor_weighted_2025,12,188.7,0.045480,wage_only,derived_from_official_sg,,external_proxy,0.7109,0.4519,0.5641,0.7461,0.2908,moderate,0.1812,very_low,mixed,,,,,,,,,,,,true,0.1357,false,false,reliability_weighted,consensus_high,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,high_risk_but_positive_labour_market,high,0.7582,0.8200,0.9500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
14391,Event manager,MANAGERS,5960,4820,7920,3.7,3.7,estimated_sg_submajor_weighted_2025,14,42.7,0.086454,wage_only,derived_from_official_sg,,external_proxy,0.5648,0.7799,0.4460,0.7993,0.0994,low,0.1965,very_low,ai_leveraged,,,,,,,,,,,,true,0.189,false,false,reliability_weighted,aligned_mid,2,aioe:0.4780|anthropic:0.5220,false,,medium,0.7827,0.5500,0.8500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13463,Financial risk manager,MANAGERS,12924,9275,18658,6.3,6.3,estimated_sg_submajor_weighted_2025,13,121.7,0.051374,wage_only,derived_from_official_sg,,external_proxy,0.6759,0.5651,0.6339,0.7147,0.2101,moderate,0.2421,low,ai_leveraged,,,,,,,,,,,,false,,false,false,reliability_weighted,consensus_high,2,aioe:0.4745|ilo:0.5255,false,,medium,0.8105,0.5500,0.9500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13461,Financial services manager,MANAGERS,8750,5380,16569,5.1,5.1,estimated_sg_submajor_weighted_2025,13,121.7,0.042271,wage_only,derived_from_official_sg,,external_proxy,0.6759,0.5651,0.5690,0.7439,0.2187,moderate,0.2173,low,ai_leveraged,,,,,,,,,,,,false,,false,false,reliability_weighted,consensus_high,2,aioe:0.4745|ilo:0.5255,false,,medium,0.8105,0.5500,0.9500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
14123,Food and beverage operations manager,MANAGERS,5286,3839,8364,3.5,3.5,estimated_sg_submajor_weighted_2025,14,42.7,0.081419,wage_only,derived_from_official_sg,,external_proxy,0.4380,0.6970,0.5243,0.7641,0.1014,low,0.1600,very_low,ai_leveraged,,,,,,,,,,,,true,0.1257,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7943,1.0000,0.4500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13420,Health services manager,MANAGERS,9839,6262,13690,5.5,5.5,estimated_sg_submajor_weighted_2025,13,121.7,0.044825,wage_only,derived_from_official_sg,,external_proxy,0.5965,0.7326,0.6389,0.7125,0.1136,low,0.2792,low,ai_leveraged,,,,,,,,,,,,true,-0.3011,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
14110,Hotel operations/Lodging services manager,MANAGERS,4970,4019,7020,3.4,3.4,estimated_sg_submajor_weighted_2025,14,42.7,0.078948,wage_only,derived_from_official_sg,,external_proxy,0.5586,0.9055,0.4597,0.7932,0.0419,very_low,0.2325,low,ai_leveraged,,,,,,,,,,,,true,0.211,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,low_risk_but_high_observed_usage,medium,0.8239,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13304,ICT service manager,MANAGERS,9503,7280,13226,5.4,5.4,estimated_sg_submajor_weighted_2025,13,121.7,0.044053,wage_only,derived_from_official_sg,,external_proxy,0.4780,0.9902,0.5536,0.6709,0.0031,very_low,0.2621,low,ai_leveraged,,,,,,,,,,,,true,-0.2073,prefix,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7803,1.0000,0.4500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12122,Industrial relations manager,MANAGERS,9176,6490,14997,8.9,8.9,estimated_sg_submajor_weighted_2025,12,188.7,0.047337,wage_only,derived_from_official_sg,,external_proxy,0.6853,0.7219,0.6010,0.7296,0.1390,low,0.2973,low,ai_leveraged,,,,,,,,,,,,true,-0.0382,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13462,Insurance services manager,MANAGERS,10466,6657,16338,5.6,5.6,estimated_sg_submajor_weighted_2025,13,121.7,0.046231,wage_only,derived_from_official_sg,,external_proxy,0.6759,0.5651,0.6143,0.7236,0.2127,moderate,0.2346,low,ai_leveraged,,,,,,,,,,,,false,,false,false,reliability_weighted,consensus_high,2,aioe:0.4745|ilo:0.5255,false,,medium,0.8105,0.5500,0.9500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12192,Landscape manager,MANAGERS,4300,2800,6000,6.1,6.1,estimated_sg_submajor_weighted_2025,12,188.7,0.032405,wage_only,derived_from_official_sg,,external_proxy,0.6729,0.8485,0.4853,0.7216,0.0736,low,0.2770,low,ai_leveraged,,,,,,,,,,,,true,-0.1153,false,prefix,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8714,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
11201,Managing director/Chief executive officer,MANAGERS,13000,6065,20000,18.1,18.1,estimated_sg_submajor_weighted_2025,11,52.6,0.343619,wage_only,derived_from_official_sg,,external_proxy,0.6291,0.9358,0.7142,0.6786,0.0274,very_low,0.4204,moderate,ai_leveraged,,,,,,,,,,,,true,0.169,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8639,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13210,Manufacturing manager,MANAGERS,8571,6126,11110,5.1,5.1,estimated_sg_submajor_weighted_2025,13,121.7,0.041837,wage_only,derived_from_official_sg,,external_proxy,0.6284,0.8547,0.5129,0.7692,0.0702,low,0.2755,low,ai_leveraged,,,,,,,,,,,,true,-0.0558,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8639,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12222,Marketing manager,MANAGERS,8841,6000,13061,8.8,8.8,estimated_sg_submajor_weighted_2025,12,188.7,0.046465,wage_only,derived_from_official_sg,,external_proxy,0.7180,0.7727,0.5836,0.6774,0.1105,low,0.3238,low,ai_leveraged,,,,,,,,,,,,true,-0.1368,false,prefix,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8943,1.0000,0.8500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13493,Media and broadcasting manager,MANAGERS,6010,4745,8074,4.3,4.3,estimated_sg_submajor_weighted_2025,13,121.7,0.035033,wage_only,derived_from_official_sg,,external_proxy,0.6473,0.8485,0.3899,0.8245,0.0809,low,0.2142,low,ai_leveraged,,,,,,,,,,,,true,-0.1153,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8639,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12214,Merchandising/Category manager,MANAGERS,8746,6000,13320,8.7,8.7,estimated_sg_submajor_weighted_2025,12,188.7,0.046215,wage_only,derived_from_official_sg,,external_proxy,0.7738,0.7469,0.5653,0.7456,0.1460,low,0.3267,low,ai_leveraged,,,,,,,,,,,,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13303,"Network, communications and infrastructure manager",MANAGERS,10750,8493,14724,5.7,5.7,estimated_sg_submajor_weighted_2025,13,121.7,0.046854,wage_only,derived_from_official_sg,,external_proxy,0.4780,0.9902,0.5662,0.6652,0.0031,very_low,0.2680,low,ai_leveraged,,,,,,,,,,,,true,-0.2073,prefix,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7803,1.0000,0.4500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12215,Online sales channel manager,MANAGERS,7614,5731,12500,8.1,8.1,estimated_sg_submajor_weighted_2025,12,188.7,0.043120,wage_only,derived_from_official_sg,,external_proxy,0.7738,0.7469,0.5219,0.7651,0.1499,low,0.3016,low,ai_leveraged,,,,,,,,,,,,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12121,Personnel/Human resource manager,MANAGERS,8197,5777,12919,8.4,8.4,estimated_sg_submajor_weighted_2025,12,188.7,0.044741,wage_only,derived_from_official_sg,,external_proxy,0.6853,0.7219,0.5641,0.7462,0.1422,low,0.2791,low,ai_leveraged,,,,,,,,,,,,true,-0.0382,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8039,1.0000,0.4500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12131,Policy manager,MANAGERS,12053,9098,15278,10.2,10.2,estimated_sg_submajor_weighted_2025,12,188.7,0.054253,wage_only,derived_from_official_sg,,external_proxy,0.4501,0.9715,0.6010,0.6496,0.0083,very_low,0.2628,low,ai_leveraged,,,,,,,,,,,,true,-0.1946,prefix,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.9014,1.0000,0.8500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13245,Port/Shipping operations manager,MANAGERS,8695,7382,10894,5.1,5.1,estimated_sg_submajor_weighted_2025,13,121.7,0.042138,wage_only,derived_from_official_sg,,external_proxy,0.6461,0.8788,0.4867,0.7810,0.0612,low,0.2763,low,ai_leveraged,,,,,,,,,,,,true,0.005,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8639,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13244,Postal service manager,MANAGERS,7910,5550,12414,4.9,4.9,estimated_sg_submajor_weighted_2025,13,121.7,0.040191,wage_only,derived_from_official_sg,,external_proxy,0.6461,0.8788,0.5848,0.7369,0.0577,low,0.3320,low,ai_leveraged,,,,,,,,,,,,true,0.005,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8639,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12191,Premises and facilities maintenance manager (excluding building security manager),MANAGERS,6542,5000,8704,7.5,7.5,estimated_sg_submajor_weighted_2025,12,188.7,0.039970,wage_only,derived_from_official_sg,,external_proxy,0.6729,0.8485,0.4737,0.7269,0.0741,low,0.2704,low,ai_leveraged,,,,,,,,,,,,true,-0.1153,false,prefix,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8714,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13410,Pre-school education manager,MANAGERS,6080,2749,8434,4.3,4.3,estimated_sg_submajor_weighted_2025,13,121.7,0.035237,wage_only,derived_from_official_sg,,external_proxy,0.3287,0.6176,0.5806,0.7387,0.0928,low,0.1179,very_low,stable,,,,,,,,,,,,true,-0.1658,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.8339,1.0000,0.4500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13242,Procurement/Purchasing manager,MANAGERS,8367,6000,12248,5,5,estimated_sg_submajor_weighted_2025,13,121.7,0.041336,wage_only,derived_from_official_sg,,external_proxy,0.6461,0.8788,0.5441,0.7552,0.0591,low,0.3089,low,ai_leveraged,,,,,,,,,,,,true,0.005,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8639,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13100,Production manager in agriculture and fisheries,MANAGERS,6930,5580,10389,4.6,4.6,estimated_sg_submajor_weighted_2025,13,121.7,0.037619,wage_only,derived_from_official_sg,,external_proxy,0.2122,0.9189,0.4943,0.7776,0.0134,very_low,0.0964,very_low,stable,,,,,,,,,,,,true,-0.1586,false,false,reliability_weighted,consensus_low,2,aioe:0.4780|anthropic:0.5220,false,,medium,0.8124,0.5500,0.9500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13292,Quality control/assurance manager,MANAGERS,9100,6174,14094,5.2,5.2,estimated_sg_submajor_weighted_2025,13,121.7,0.043108,wage_only,derived_from_official_sg,,external_proxy,0.5912,0.8690,0.5892,0.7349,0.0569,low,0.3027,low,ai_leveraged,,,,,,,,,,,,true,-0.159,false,false,reliability_weighted,aligned_mid,3,aioe:0.3193|anthropic:0.3486|eloundou:0.3321,false,,high,0.7884,0.8200,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12213,Regional sales manager,MANAGERS,11000,7245,17850,9.8,9.8,estimated_sg_submajor_weighted_2025,12,188.7,0.051829,wage_only,derived_from_official_sg,,external_proxy,0.7738,0.7469,0.6250,0.7187,0.1408,low,0.3612,low,ai_leveraged,,,,,,,,,,,,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12230,Research and development manager,MANAGERS,10896,7061,17189,9.7,9.7,estimated_sg_submajor_weighted_2025,12,188.7,0.051583,wage_only,derived_from_official_sg,,external_proxy,0.3559,0.9189,0.6459,0.7094,0.0205,very_low,0.2112,low,ai_leveraged,,,,,,,,,,,,true,-0.1586,false,false,reliability_weighted,divergent,3,aioe:0.3126|anthropic:0.3413|ilo:0.3461,false,divergent_exposure_sources,high,0.7972,0.8200,0.4500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
14121,Restaurant manager,MANAGERS,4000,3000,4710,3,3,estimated_sg_submajor_weighted_2025,14,42.7,0.070826,wage_only,derived_from_official_sg,,external_proxy,0.4380,0.6970,0.4209,0.8106,0.1076,low,0.1285,very_low,ai_leveraged,,,,,,,,,,,,true,0.1257,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7943,1.0000,0.4500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
14201,Retail manager,MANAGERS,4500,3517,6420,3.2,3.2,estimated_sg_submajor_weighted_2025,14,42.7,0.075122,wage_only,derived_from_official_sg,,external_proxy,0.6651,0.7585,0.4474,0.7986,0.1283,low,0.2257,low,ai_leveraged,,,,,,,,,,,,true,0.3157,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,true,divergent_exposure_sources|low_risk_but_high_observed_usage,medium,0.5932,1.0000,0.4500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12133,Risk management manager,MANAGERS,11946,7558,18332,10.2,10.2,estimated_sg_submajor_weighted_2025,12,188.7,0.054012,wage_only,derived_from_official_sg,,external_proxy,0.4501,0.9715,0.6845,0.6120,0.0079,very_low,0.2993,low,ai_leveraged,,,,,,,,,,,,true,-0.1946,prefix,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.9014,1.0000,0.8500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
12211,Sales manager,MANAGERS,7049,5000,10353,7.8,7.8,estimated_sg_submajor_weighted_2025,12,188.7,0.041490,wage_only,derived_from_official_sg,,external_proxy,0.7738,0.7469,0.5158,0.7679,0.1504,moderate,0.2981,low,ai_leveraged,,,,,,,,,,,,true,-0.0499,false,false,reliability_weighted,aligned_mid,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,,high,0.8570,1.0000,0.8500,0.6500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
13451,School principal,MANAGERS,6967,5755,8853,4.6,4.6,estimated_sg_submajor_weighted_2025,13,121.7,0.037719,wage_only,derived_from_official_sg,,external_proxy,0.4593,0.9786,0.4605,0.7928,0.0078,very_low,0.2070,low,ai_leveraged,,,,,,,,,,,,true,-0.3348,false,false,reliability_weighted,divergent,4,aioe:0.2359|anthropic:0.2576|eloundou:0.2453|ilo:0.2612,false,divergent_exposure_sources,high,0.7141,1.0000,0.4500,0.8500,,,,,,,,,,,,,direct,,external_proxy,false,,,false
