DataSeries,20253Q,20252Q,20251Q,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q,20133Q,20132Q,20131Q,20124Q,20123Q,20122Q,20121Q,20114Q,20113Q,20112Q,20111Q,20104Q,20103Q,20102Q,20101Q,20094Q,20093Q,20092Q,20091Q,20084Q,20083Q,20082Q,20081Q,20074Q,20073Q,20072Q,20071Q,20064Q,20063Q,20062Q,20061Q,20054Q,20053Q,20052Q,20051Q,20044Q,20043Q,20042Q,20041Q,20034Q,20033Q,20032Q,20031Q,20024Q,20023Q,20022Q,20021Q,20014Q,20013Q,20012Q,20011Q,20004Q,20003Q,20002Q,20001Q,19994Q,19993Q,19992Q,19991Q,19984Q,19983Q,19982Q,19981Q,19974Q,19973Q,19972Q,19971Q,19964Q,19963Q,19962Q,19961Q,19954Q,19953Q,19952Q,19951Q,19944Q,19943Q,19942Q,19941Q,19934Q,19933Q,19932Q,19931Q,19924Q,19923Q,19922Q,19921Q,19914Q,19913Q,19912Q,19911Q,19904Q,19903Q,19902Q,19901Q
            Accommodation,1100,1600,1600,1500,1500,2000,1900,1600,1700,2100,1700,1600,1700,2200,2100,1800,1300,900,900,500,900,800,800,1300,1800,2400,1900,2000,1700,2600,1600,1500,1800,1500,1400,1600,1500,1700,1700,1700,1900,1800,1800,1900,1900,1800,1600,1600,1700,1400,1200,1200,1200,900,1100,1200,1000,1100,1200,1000,1000,800,1000,600,800,400,300,400,600,1000,800,800,900,900,900,800,800,900,800,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Food & Beverage Services,5000,4100,5300,5100,4000,5000,4900,5200,6300,6700,7000,7500,7900,9100,7800,7100,6900,4500,4700,3800,4000,3200,2600,4800,3500,4100,3700,4400,4500,3500,3300,3900,4300,4000,2900,3300,5000,3600,4300,4400,6400,5100,5700,5700,6400,5100,5100,5400,6100,3500,3700,3900,5500,2500,3100,3200,4200,3100,2400,2500,3900,2700,2500,2300,2600,1000,600,1500,2400,1800,1700,1800,1600,1400,1200,1400,1800,1300,800,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Information And Communications,5100,6000,6500,5600,5700,6500,7300,6300,7100,6700,8100,8200,9300,12100,11700,11100,8500,8700,6100,4900,4900,3800,4600,4500,4600,4100,3500,4100,4300,3800,4000,3100,3000,3400,2700,2700,3300,2800,2700,2500,3400,3000,2800,2600,2500,2300,2300,2200,2000,1500,1400,1500,1800,1500,1300,1700,1900,1900,1500,1700,1500,1100,1300,1100,1000,700,400,800,1700,1800,1500,1300,1500,1100,1100,1100,1100,1000,900,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"            Telecommunications, Broadcasting & Publishing",600,800,800,500,600,900,1100,1100,800,1000,1000,1100,1800,2300,2400,2600,1200,1300,900,700,600,500,600,600,700,700,700,600,1000,800,700,500,700,1000,900,800,1000,1000,800,800,1000,600,600,700,600,600,600,700,500,600,500,600,600,700,600,600,800,900,600,500,600,600,600,500,400,300,200,300,500,700,700,600,600,700,500,400,600,400,300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            IT & Other Information Services,4500,5200,5700,5100,5100,5600,6200,5200,6300,5700,7100,7100,7500,9800,9300,8600,7300,7400,5200,4200,4300,3300,4000,3900,3900,3400,2900,3500,3300,3000,3200,2600,2300,2400,1800,1900,2300,1800,1900,1700,2400,2500,2200,1900,2000,1600,1700,1500,1400,900,900,1000,1200,800,700,1100,1100,900,800,1100,900,500,700,600,600,300,200,400,1200,1000,800,700,900,400,600,600,500,500,600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Financial And Insurance Services,5100,6300,6500,5300,4000,5600,5500,7200,5100,6000,7000,7700,9300,10700,13100,13100,7200,7000,5500,3700,4500,4500,4600,4600,5400,5800,5300,4700,6000,5000,4400,4200,4700,4200,3700,3400,3200,3200,3200,3700,3500,4100,3600,3400,3900,4100,3900,2900,3100,2800,2400,2100,2700,2500,2700,2300,2200,3600,3200,3000,2500,2800,1800,2000,1400,1000,800,900,1400,2700,2700,2800,2800,2500,2300,2100,1400,1700,1500,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Financial Services,4500,5500,5800,4500,3500,4700,4600,6600,4600,5400,6300,7000,8400,9800,12200,12400,6700,6500,4900,3300,4100,4000,3800,3900,4800,5000,4600,4100,5300,4200,3800,3500,4200,3700,3300,2900,2700,2800,2700,3200,3000,3700,3300,3000,3500,3600,3400,2600,2700,2300,1900,1600,2200,2100,2300,1800,1700,3200,2700,2500,2100,2300,1500,1800,1100,700,500,600,1100,2100,2200,2400,2500,2200,2000,1900,1200,1300,1300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
            Insurance Services,500,700,700,800,600,900,900,700,500,600,600,700,900,900,800,700,600,500,600,400,400,500,800,700,600,800,600,600,700,800,600,600,500,500,500,400,400,400,600,400,500,400,300,400,400,500,500,400,400,500,500,500,400,300,400,400,500,500,500,500,400,400,300,300,300,300,300,300,300,500,500,400,300,300,300,200,200,400,200,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Real Estate Services,1300,1600,1800,1500,1500,2200,1900,1900,1300,2100,2000,2100,2100,2200,1900,1800,1900,1500,1000,1000,1200,900,1100,1200,1200,1300,1300,1400,1300,1100,1000,1100,1200,1100,1100,1300,1800,1800,1200,1900,2600,2000,2300,2000,2500,2200,2300,2000,2500,1900,2000,1300,2000,2400,1400,1800,2400,1800,1700,1600,2100,1100,900,900,1000,1000,700,1000,1000,800,700,800,1000,900,1100,700,700,700,500,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Professional Services,5500,5800,6200,5800,4100,6900,7200,6200,5600,7400,7700,7900,8300,10300,9800,8600,8200,7100,4700,3400,3800,2800,2800,3400,4200,4000,4000,4000,4400,4000,3500,2600,3000,2800,2600,2500,3400,3800,3300,3300,3700,4100,4600,4100,4000,3000,3100,2500,3300,3000,2900,2400,3100,2400,2300,2500,2700,2500,2300,2100,2500,1900,1600,1600,1700,1000,1500,1800,2200,2800,3400,3200,2600,3000,2100,2100,1600,2000,1700,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
